date, country, totalcases, newcases, totaldeath, newdeath, totalrecovered, activecases, seriouscases, totaltests,death/case,totaltest/totalcases,trec/tcases
4/10/2020,Faeroe Islands,184,, ,,136,48,,5299,,3.50%,74%
4/10/2020,DRC,180,,18,,9,153,,,10.00%,,5%
4/10/2020,Venezuela,171,4,9,,84,78,6,139282,5.30%,0.10%,49%
4/10/2020,Martinique,154,,6,,50,98,19,,3.90%,,32%
4/10/2020,Guadeloupe,143,2,8,,67,68,13,,5.60%,,47%
4/10/2020,Djibouti,140,5,1,1,28,111,,3399,0.70%,4.10%,20%
4/10/2020,Brunei ,135,,1,,92,42,3,8985,0.70%,1.50%,68%
4/10/2020,Paraguay,124,5,5,,18,101,1,2039,4.00%,6.10%,15%
4/10/2020,Gibraltar,123,3, ,,60,63,1,1511,,8.10%,49%
4/10/2020,Cambodia,119,2, ,,62,57,1,5768,,2.10%,52%
4/10/2020,Rwanda,113,3, ,,7,106,,806,,14.00%,6%
4/10/2020,Trinidad and Tobago,109,2,8,,1,100,,987,7.30%,11.00%,1%
4/10/2020,El Salvador,103,10,6,1,14,83,3,,5.80%,,14%
4/10/2020,Guatemala,95,8,3,,17,75,3,1134,3.20%,8.40%,18%
4/10/2020,Madagascar,93,, ,,11,82,1,,,,12%
4/10/2020,Monaco,84,3,1,,5,78,4,,1.20%,,6%
4/10/2020,French Guiana,83,, ,,43,40,1,,,,52%
4/10/2020,Aruba,82,5, ,,20,62,,1008,,8.10%,24%
4/10/2020,Liechtenstein,78,,1,,55,22,,900,1.30%,8.70%,71%
4/10/2020,Mali,74,15,7,,22,45,,,9.50%,,30%
4/10/2020,Togo,73,3,3,,24,46,,1747,4.10%,4.20%,33%
4/10/2020,Barbados,66,3,3,,11,52,4,694,4.50%,9.50%,17%
4/10/2020,Jamaica,63,,4,,12,47,,907,6.30%,6.90%,19%
4/10/2020,Congo,60,15,5,,5,50,,,8.30%,,8%
4/10/2020,Ethiopia,56,1,2,,4,50,2,2790,3.60%,2.00%,7%
4/10/2020,Uganda,53,, ,,,53,,3310,,1.60%,0%
4/10/2020,French Polynesia,51,, ,,,51,,744,,6.90%,0%
4/10/2020,Bermuda,48,9,4,1,25,19,,354,8.30%,13.60%,52%
4/10/2020,Cayman Islands,45,,1,,6,38,,479,2.20%,9.40%,13%
4/10/2020,Macao,45,, ,,10,35,1,,,,22%
4/10/2020,Gabon,44,10,1,,1,42,,,2.30%,,2%
4/10/2020,Sint Maarten,43,3,6,,1,36,2,112,14.00%,38.40%,2%
4/10/2020,Bahamas,41,1,8,1,5,28,1,,19.50%,,12%
4/10/2020,Zambia,39,,1,,24,14,1,1239,2.60%,3.10%,62%
4/10/2020,Guyana,37,,6,,8,23,4,145,16.20%,25.50%,22%
4/10/2020,Guinea-Bissau,36,3, ,,,36,,1500,,2.40%,0%
4/10/2020,Eritrea,33,, ,,,33,,,,,0%
4/10/2020,Saint Martin,32,,2,,7,23,6,,6.30%,,22%
4/10/2020,Liberia,31,,4,,3,24,,,12.90%,,10%
4/10/2020,Haiti,30,3,2,1,,28,,257,6.70%,11.70%,0%
4/10/2020,Benin,26,,1,,5,20,,,3.80%,,19%
4/10/2020,Tanzania,25,,1,,5,19,,,4.00%,,20%
4/10/2020,Libya,24,3,1,,8,15,,492,4.20%,4.90%,33%
4/10/2020,Myanmar,23,1,3,,2,18,,1246,13.00%,1.80%,9%
4/10/2020,Angola,19,,2,,2,15,,,10.50%,,11%
4/10/2020,Antigua and Barbuda,19,,2,,,17,1,40,10.50%,47.50%,0%
4/10/2020,Syria,19,,2,,4,13,,,10.50%,,21%
4/10/2020,Maldives,19,, ,,13,6,,,,,68%
4/10/2020,Equatorial Guinea,18,, ,,3,15,,854,,2.10%,17%
4/10/2020,New Caledonia,18,, ,,1,17,,2320,,0.80%,6%
4/10/2020,Mozambique,17,, ,,1,16,,483,,3.50%,6%
4/10/2020,Laos,16,1, ,,,16,,903,,1.80%,0%
4/10/2020,Mongolia,16,, ,,4,12,,,,,25%
4/10/2020,Namibia,16,, ,,3,13,,362,,4.40%,19%
4/10/2020,Sudan,15,1,2,,2,11,,,13.30%,,13%
4/10/2020,Dominica,15,, ,,1,14,,293,,5.10%,7%
4/10/2020,Fiji,15,, ,,,15,,,,,0%
4/10/2020,Curaçao,14,,1,,7,6,,,7.10%,,50%
4/10/2020,Saint Lucia,14,, ,,1,13,,,,,7%
4/10/2020,Botswana,13,7,1,,,12,,1154,7.70%,1.10%,0%
4/10/2020,Somalia,12,,1,,1,10,,,8.30%,,8%
4/10/2020,Grenada,12,, ,,,12,2,45,,26.70%,0%
4/10/2020,St. Vincent Grenadines,12,4, ,,1,11,,56,,21.40%,8%
4/10/2020,Eswatini,12,, ,,7,5,,,,,58%
4/10/2020,Zimbabwe,11,,3,,,8,,371,27.30%,3.00%,0%
4/10/2020,Chad,11,1, ,,2,9,,,,,18%
4/10/2020,Greenland,11,, ,,11,0,,770,,1.40%,100%
4/10/2020,Saint Kitts and Nevis,11,, ,,,11,,183,,6.00%,0%
4/10/2020,Seychelles,11,, ,,,11,,,,,0%
4/10/2020,Suriname,10,,1,,4,5,,,10.00%,,40%
4/10/2020,MS Zaandam,9,,2,,,7,,,22.20%,,0%
4/10/2020,Belize,9,1,1,,,8,1,364,11.10%,2.50%,0%
4/10/2020,Nepal,9,, ,,1,8,,2895,,0.30%,11%
4/10/2020,Montserrat,9,, ,,,9,1,36,,25.00%,0%
4/10/2020,Malawi,8,,1,,,7,1,,12.50%,,0%
4/10/2020,Turks and Caicos,8,,1,,,7,,61,12.50%,13.10%,0%
4/10/2020,CAR,8,, ,,,8,,,,,0%
4/10/2020,Vatican City,8,, ,,2,6,,,,,25%
4/10/2020,Cabo Verde,7,,1,,1,5,,,14.30%,,14%
4/10/2020,Mauritania,7,1,1,,2,4,,258,14.30%,2.70%,29%
4/10/2020,Nicaragua,7,1,1,,,6,,,14.30%,,0%
4/10/2020,Sierra Leone,7,, ,,,7,,,,,0%
4/10/2020,St. Barth,6,, ,,1,5,,,,,17%
4/10/2020,Bhutan,5,, ,,2,3,,1166,,0.40%,40%
4/10/2020,Falkland Islands,5,, ,,1,4,,137,,3.60%,20%
4/10/2020,Gambia,4,,1,,2,1,,,25.00%,,50%
4/10/2020,Sao Tome and Principe,4,, ,,,4,,19,,21.10%,0%
4/10/2020,Western Sahara,4,, ,,,4,,,,,0%
4/10/2020,Anguilla,3,, ,,,3,,,,,0%
4/10/2020,British Virgin Islands,3,, ,,,3,,,,,0%
4/10/2020,Burundi,3,, ,,,3,,,,,0%
4/10/2020,South Sudan,3,1, ,,,3,,,,,0%
4/10/2020,Caribbean Netherlands,2,, ,,,2,,10,,20.00%,0%
4/10/2020,Papua New Guinea,2,, ,,,2,,72,,2.80%,0%
4/10/2020,Saint Pierre Miquelon,1,, ,,,1,,,,,0%
4/10/2020,Timor-Leste,1,, ,,,1,,,,,0%
